year,state,stage,special,first_name,middle_name,last_name,party,result,race,incumbent,gender
2022,CA,gen,NO,ALEX,,PADILLA,DEMOCRAT,WINNER,HISPANIC,YES,MAN
2022,CA,gen,NO,MARK,,MEUSER,REPUBLICAN,LOSER,WHITE,NO,MAN
2022,OR,gen,NO,RON,,WYDEN,DEMOCRAT,WINNER,WHITE,YES,MAN
2022,OR,gen,NO,JO,RAE,PERKINS,REPUBLICAN,LOSER,WHITE,NO,WOMAN
2022,WA,gen,NO,PATTY,,MURRAY,DEMOCRAT,WINNER,WHITE,YES,WOMAN
2022,WA,gen,NO,TIFFANY,,SMILEY,REPUBLICAN,LOSER,WHITE,NO,WOMAN
2022,NV,gen,NO,CATHERINE,CORTEZ,MASTO,DEMOCRAT,WINNER,HISPANIC,YES,WOMAN
2022,NV,gen,NO,ADAM,,LAXALT,REPUBLICAN,LOSER,WHITE,NO,MAN
2022,AZ,gen,NO,MARK,,KELLY,DEMOCRAT,WINNER,WHITE,YES,MAN
2022,AZ,gen,NO,BLAKE,,MASTERS,REPUBLICAN,LOSER,WHITE,NO,MAN
2022,AZ,gen,NO,MARC,,VICTOR,OTHER,LOSER,WHITE,NO,MAN
2022,ID,gen,NO,MIKE,,CRAPO,REPUBLICAN,WINNER,WHITE,YES,MAN
2022,ID,gen,NO,DAVID,,ROTH,DEMOCRAT,LOSER,WHITE,NO,MAN
2022,UT,gen,NO,MIKE,,LEE,REPUBLICAN,WINNER,WHITE,YES,MAN
2022,UT,gen,NO,EVAN,,MCMULLIN,OTHER,LOSER,WHITE,NO,MAN
2022,CO,gen,NO,MICHAEL,,BENNET,DEMOCRAT,WINNER,WHITE,YES,MAN
2022,CO,gen,NO,JOE,,O'DEA,REPUBLICAN,LOSER,WHITE,NO,MAN
2022,AK,gen,NO,LISA,,MURKOWSKI,REPUBLICAN,LOSER,WHITE,YES,WOMAN
2022,AK,gen,NO,KELLY,,TSHIBAKA,REPUBLICAN,LOSER,WHITE,NO,WOMAN
2022,SD,gen,NO,JOHN,,THUNE,REPUBLICAN,WINNER,WHITE,YES,MAN
2022,SD,gen,NO,BRIAN,,BENGS,DEMOCRAT,LOSER,WHITE,NO,MAN
2022,ND,gen,NO,JOHN,,HOEVEN,REPUBLICAN,WINNER,WHITE,YES,MAN
2022,ND,gen,NO,KATRINA,,CHRISTIANSEN,DEMOCRAT,LOSER,WHITE,NO,WOMAN
2022,ND,gen,NO,RICK,,BECKER,OTHER,LOSER,WHITE,NO,MAN
